name,degree,addr,tel,review,type,r_review,,,,,,,,,,
흑본오겹 함덕점,4.4,제주특별자치도 제주시 조천읍 신북로 454,064-726-7786,372,"육류,고기",여기 넘 맛있어요ㅠ 친절하구 고기도 맛나구ㅋ 밑반찬 하나하나 맛있어서 계속 리필했음..ㅎㅎㅎ/0 삼겹살 맛있어요 근데 처음에 갈비시켰는데 진짜 비계가 너무 많아서 하얀 덩어리만 보여서 깜짝 놀라서 반품요청함 비계가 많아야 맛있다고 하시는데 비계가 80% 였다는.. 다행히 친절하게 삼겹살로 바꿔주심/0 제주와서 흑돼지 한번 먹어보기엔 좋아요.직접 구워주십니다.가격은../0,,,,,,,,,,
백성원해장국 본점,4,제주특별자치도 제주시 동광로4길 1,064-724-0792,43,해장국,양이 많고 푸짐합니다/0 오랜만에 와서 먹었는데.. 육수맛이 전과 다르네요대춘과 아라연에서 맑고 시원한 국물에 익숙해져서그런지.. 육수가 탁하고 넘 짜요 ㅠ/0 해장국 하나만 깊이 파는 맛집 포스 풍기는 집이었습니다./0,,,,,,,,,,
바당한그릇,4.4,제주특별자치도 제주시 애월읍 애월해안로 552-3 1층,064-799-8022,81,회,사장님이 매우친절했습니다. 메뉴에 대해 설명도 잘해주시고 주방장으로 보이는 분이 나와서 서비스도 주시고 부족한건 없는지 섬세하게 물어보셨어요음식도 아주 맛있었구요ㅎㅎ 홍게탕 먹었는데 게가 하나 다 들어가 있어서 양도 많았습니다제주 첫날 깔끔하게 식사할 수 있어 좋았습니다./0 제주 첫날 첫식사였는데 마지막날까지 생각납니다 … 황게탕 … 물회 … 그리고 새우튀김 … 둘이서 너무 맛있어서 미간 찌뿌리고 먹다가 진짜로 미간이 땡기더라구요 … 연휴 바로 전이라 사람이 없어서 사장님께서 더 신경써주신 것 같아요 정말 감사합니다 … 최고세요 …/0 여행중 음식으로 감동을 받았다.👏👏👏/0,,,,,,,,,,
탐라가든,3.7,제주특별자치도 제주시 서사로 51,064-757-5187,83,"육류,고기",맛있어요 가족과함께가고싶어요/0 /0 우연히 온 가게인데 고기상태도 너무 좋고 맛있어서담에 가족들 데리고 와야겠어요/0,,,,,,,,,,
한라전복 성산본점,4.4,제주특별자치도 서귀포시 성산읍 해맞이해안로 2732,064-782-5190,104,"굴,전복","오래걸려서 그렇지 맛, 전복사이즈, 가성비가 좋았다 다음 제주 방문 시 또 들려야 되는 곳~!/0 그냥그래용/0 맛있지만 전복죽 넘 비림/0",,,,,,,,,,
순희뽀글이정식,4.6,제주특별자치도 제주시 공설로 27-1,064-755-7441,71,한식,특별할것 없는데 맛있는 밥비벼드세요 꼬옥!/0 맛은 정말 평범해요/0 근처라면 자주 갔을 가성비 좋은곳/0,,,,,,,,,,
남원바당,4.5,제주특별자치도 제주시 천수로8길 7,064-755-3388,84,"해물,생선","정말 맛있게 먹은 로컬밥집. 돔베고기는 무난, 항정국, 멜조림, 각재기국 다 밥도둑이었음. 밥 3공그 가까이 먹은 식당. 가격도 합리적이고 재방문의사 있음./0 돔베 고기(삶은 돼지고기)에 멜조림 정말 맛 있게 먹었네요~^^/0 맛집이지먹어보면 알아용~~^^/0",,,,,,,,,,
산도롱맨도롱 제주공항점,3,제주특별자치도 제주시 용담로 16 2층,064-803-0306,1405,국수,"제주공항과 가까워서 좋았습니다 차로 10분 정도? 그리고 주차장도 있어서 주차하기 편했어요! 주문은 입구에 들어가자마자 있는 1개의 작은 키오스크로 주문을 하는거라 살짝.. 불편했어요 저희 뒤에 바로 단체 손님이 오셔서 그런지 모르겠는데 신경을 많이 못 써주시더라구요; 물, 수저가 10분정도 기다렸다가 안나오길래 물이라도 먼저 마실려고 가져가도 되냐고 물어보니 가져다 드리겠다고 하면서 그때 주셨습니다. 음식 나오는 후기 보니 좀 케바케가 있는거 같은데 저희는 주문하고 20분? 좀 넘게 받은거 같아요 고기국수는 처음 먹어보는데 맛있어요 백국수은 고기 육수여서 구수하고 홍국수는 톡쏘는 매운맛이 있어요 같이 갔던 분들은 매운걸 못 드시는 분들이었는데 홍국수는 매웠다고 하니 매운거 잘 드시는 분만 드시는걸 추천해요 육전은 말해뭐해 맛있었어요 ㅋㅋㅋㅋ 갈비는 LA갈비처럼 간장 베이스라 따로 먹어도 맛있고 국수랑 같이 먹어도 맛있는데 뼈부분은 질겨서 못 먹겠더라구요 그래서 안먹었습니다!- 한번쯤 가볼만한 곳 같아요 정말 맛있었고 주차도 편하고 공항과 가까웠는데 갔었을 당시에는 비수기라 그런지 홀에 한분만 계서서 환영받지 못하는 분위기? 같은 불편한게 있어서...ㅎㅎ 한번 먹은걸로 만족 합니다!/0 입구에서 갈비국수 품절이라고 1인 19000원인 정식밖에안된다고함ㅇㅋ 그거라도 먹고가려고 주문->짜고달고기름진일반한식 19000원주고 먹고싶으면 주문하세요점심시간 지난 시간에 방문했는데도 음식 나오는데에 30분걸림현금결제밖에 안된다길래 이체하고 현금영수증 요청함 발급해준다고해서 인적사항 적어놓고옴-> 평일기준 3일지났는데 아직까지 발금안해주셨네요(발급해주시면 이부분은 삭제하겠음)갈비국수는 먹어보지못해 평가할수없지만정식은 정말 비추천합니다.. 이 돈으로 다른거 맛있는거 사드세요.. 두 테이블밖에없었는데 제가 앉은 식탁에 음식물이 남아있어서 옷 팔부분에 음식물 다 묻었어요../0 아침식사/0",,,,,,,,,,
등대와바당,4.5,제주특별자치도 제주시 도두항서길 37 2층,064-743-0551,45,회,"아주 맛있게 먹고 너무 친절하게해주셔서 더 맛있게 먹은거같습니다 다음에 제주도 여행하면 다시 방문ㅎ.ㅎ/0 /0 평점보고 혼자 왔는데 일단 너무 친절하시고, 돌미역과 톳이 맛있어서 셀프 리필.. 갈치조림 정식 먹었는데 미역국도 주시고 뭐 하나 나무랄데 없다. 어지간하면 글 안올리는데 감동받아 올린다.^^/0 no review in crawling",,,,,,,,,,
우정회센타 중문점,4.2,제주특별자치도 서귀포시 천제연로 179 1층,064-738-7677,47,회,모듬회맛있는데~매운탕도 맛있따! 찜♡/0 정말 최고입니다 고등어회 너무맛나요😭/0 또와야쥐~/0,,,,,,,,,,
갈치공장,4.8,제주특별자치도 제주시 구좌읍 해맞이해안로 1296,064-772-5577,104,"해물,생선","늦은 아침으로 갈치조림2인, 전복죽1 시켰는데 갈치를 먹어도먹어도 끝이없이 나와요.아이들도 잘먹고, 밥 다먹고도 갈치만 몇조각을 먹었는지 모르겠어요!옥돔구이도 지느러미까지 바삭해서 너무너무 맛있었어요! 제주갈치 뭐가 다른가했는데 여긴 달라요!/0 또 가고싶다 진짜... 관광객 장사하는 다른 갈치집이랑 차원이 틀림 가격도 가격인데 갈치가 진ㄴㄴㄴㄴ짜 통통하고 맛있음/0 /0",,,,,,,,,,
고사리식당,4.3,제주특별자치도 제주시 조천읍 번영로 1680,064-783-6564,107,"해물,생선",3점까진 아닌거 같지만 너무 칭찬일색이라 한개깎았습니다 양념은 맛있는데 갈치가 너무 얇아요 밥먹는 내내 가시바르느냐고 바빴어요 무는 푹익고 간도 잘 배어 맛있었습니다/0 no review in crawling,,,,,,,,,,
다미진횟집,4.7,제주특별자치도 서귀포시 표선면 민속해안로 578-1,064-787-5050,13,회,많이 비쌈 맛은 그닥/0 별 최소가 1개라는게 화가날정도입니다전복뚝배기 2개 시켰구요 코딱지만한 전복 2개 바지락 7개 게 토막으로 두갠가 있었구요 바지락은 7개중 1개만 열리고 나머지는 열리지도 않았어요 전복은 비린내가 심해서 얘기했더니 그럴리가 없다며 다 싱싱한거로 넣었다면서 냉동 전복이랑 바지락을 가지고 나오셨어요 비리다고 드셔보라니까 원래 이런맛이래요 국물 한숟갈만 먹고 도저히 못먹겠다고 계산해달라니까 벌써 다드셨어요? 하시면서 계산해주시네요 가게에 저녁밥시간대인데도 불구하고 손님 한명도 없고 파리만 날려요 절대 비추/0 no review in crawling,,,,,,,,,,
넝쿨하눌가든,3.9,제주특별자치도 제주시 대원북길 21,064-744-7555,79,오리,친절하고 음식이 빠르게나옴/0 /0 국물 시원하고 맛있음미나리 향도 좋고 오리고기 부드러움모두가 한 그릇 뚝딱/0,,,,,,,,,,
중문미향해장국 본점since2010,4,제주특별자치도 서귀포시 일주서로 962,064-739-8868,71,해장국,해장국에 김치 들어가 있어요..당면도 들어가있고…밥은 조금씩 자주해야 할 듯..선지는 많이 퍽퍽하네요..막걸리는 신거운맛…네이버 리뷰 이벤트 하는 이유가 있었군요/0 우거지해장국 얼큰하게 넘 좋/0 얼큰하게 좋습니다!!/0,,,,,,,,,,
두루두루식당,4.2,제주특별자치도 제주시 삼무로3길 14,064-744-9711,45,"해물,생선","객주히 조림 맛집 아나고 구이도 맛집 !!!^^/0 네 명이서 4인분 시킨다고 욕하는 집입니다. 한 메뉴에 0.5인분이라고 바꾸시는 걸 추천해요! 물어봐도 대답도 안하고 밥 먹고 있는 테이블을 정리하는 곳!If you order four servings for four, the owner will ignore you ^^ Definitely one of the worst experiences at the restaurant. I'm sure you can try this level of taste anywhere else./0 객주리가 쥐치라고 하네요. 회 하고 조림을 먹었는데 아주 잘 먹었어요. 술을 안먹고 있으니 아쉽기는 했지만 아쉽지 않았어요. 근데 홀 직원 아주머니 너무 홀대ㅈ해서 기분ㅈ나뻣어요. 원주민 아니라고 홀대...그래도 다음에 갈생각 ㅎ/0 no review in crawling",,,,,,,,,,
정담,3.8,제주특별자치도 제주시 구남로8길 6,064-758-2334,10,갈비,맛은 있으나 가성비 최악/0 /0 비행기시간이 남아서 들린곳 그냥 가까운식당 찾다가 들렸는데 인생 갈비집이었음 담에 또 제주가게되면 꼭 다시 들릴께요/0,,,,,,,,,,
진주식당,3,제주특별자치도 서귀포시 태평로 353,064-762-5158,42,"해물,생선","10여년전 맛이 가끔 그리웠지만 그맛이 여전하진 않을거라 생각하다우연히 재방문했는데가격은 비싼편이지만 돔베고기도, 곁들여 나오는 쌈장들도 맛있어 젓갈 추가 배송까지 했습니다 (사실 지금 서울에서 택배받은 젓갈 먹다 생각나서 후기 작성합니다) -근데 메인메뉴는 가격대비 평범하고 반찬들이 하나같이 맛있었던…반찬값이려니 생각합니다 앞에 리뷰들 보니까 한동안 맛도 써비스도 떨어졌다가 끌어올리는 중인지 반찬 인심도 좋더라구요솔직한 후기는 역쉬 올바른 식문화를 선도하는군요 ㅎㅎ(**근데 거기서 맛보지 못한 자리돔 쌈장젓갈을 추가 배송했는데 노란참조기젓보다 더 맛있네요?! 맛도 써비스도 지금만큼만 지켜주세요~~!^^)/0 /0 전복뚝배기. 국물이 개운함. 맵지도 짜지도 않아 편하게 먹음. 가게 부근 또 지나가게 되면 재방문할 의사 있음./0",,,,,,,,,,
오름나그네,4,제주특별자치도 제주시 조천읍 선교로 525,064-784-2277,129,한식,음 그냥 모든게 평범했음… 보말칼국수 국물이 진한 보말향이 안나고 뭔가 밍숭맹숭했고 파전도 귀여운 칵테일 새우들만 들어있고 뭔가 아쉬움… 한치비빔국수가 젤 맛있었음/0 보말칼국수에 제주의 맛이 가득 담겨 있습니다/0,,,,,,,,,,
제주진미마돈가,4.3,제주특별자치도 서귀포시 안덕면 대평감산로 17,064-738-2346,556,"육류,고기","완벽 그 자체/0 특별히 냄새는 안 납니다 다만 특별히 맛있는지는 모르겠어요 고기 기름이 많은 부위는 호불호가 갈립니다 마까스는 무난한 맛이었어요/0 마까스 : 12,000원육회 : 25,000원음식이 돈값을하는지는 사진보고 판단하시길맛도 맛인데 음식자체가 성의가 없음.뜨내기들 털어먹는곳인듯.평점은 작업친듯합니다.쓰레기장같은곳에서 키우는 거위는 이 가게의 위생의식을 대변합니다. (이걸보고 도망쳤어야했는데.)사진은 못찍었지만 죽은 똥파리붙어있는 메뉴판,음식묻은 장갑으로 손님핸드폰받아서 결제하는 종업원.. 더이상 말안하겠습니다. 와서 내상입지말고 딴데가세요/0 no review in crawling",,,,,,,,,,
사계절국수,4,제주특별자치도 제주시 조천읍 남조로 2115 2동 1층,010-8798-5495,17,국수,음식 사진을 잘 찍지 않아서 남아있지 않지만우연히 고기국수.한치비빔국수를 맛있게 먹고다음날 한라산 등반후 내려와서 잔치국수.한치비빔국수 주문하면서 한치 추가 비용 생각하고 주문했더니 별도 비용없이 넉넉하게 주셨어요^^양념도 맛있고 국물도 담백하고 이틀내내 먹었는데 기분좋게 식사했고 영업하시는 분들이 모두 친절했어요^^/0 고기국수 - 맑은 사리곰탕에 소면 넣은 맛비빔국수 - 자극적이지 않고 새콤한 맛멸치국수 - 씁쓸함이 느껴지는 멸치육수 맛고명으로 올라가는 고기는 존맛은 아니지만 준수했음.멸치국수는 유부 때문인지 우동향도 살짝 남.비빔국수가 입에 제일 맞았음.사장님과 직원분이 매우 친절하셨음.국수 양은 다른 가게들 중에 넉넉히 챙겨준다는 편에 속하고 맛은 보편적으로 무난한 맛.멀리서 찾아와 먹을 맛은 아니였고 근처 이동하다가 가볍게 한끼 먹기 좋은 곳./0 김치말이국수를 먹었는데 육수가 진짜 끝내줘요/0,,,,,,,,,,
풍차와전복,4.5,제주특별자치도 제주시 한경면 두모5길 59 1층,064-773-0118,150,"굴,전복",2년 전쯤 맛있게 먹어서 멀리서 이거 먹으러 왔는데 너무 맛없어졌어요ㅜ 전복 뚝배기 해물들이 별로 안신선한 것 같고.. 반찬도 전체적으로 맛이 없어요ㅜㅜ 제 입맛이 이상한 거였으면 좋겠네요../0 맛잇어맛잇어유/0 왜 제주도 사람들만 맛있는거 먹나여ㅜㅜ 너무 맛있어요/0,,,,,,,,,,
천리식당천리민박,4.4,제주특별자치도 제주시 구좌읍 송당6길 30,010-4168-5650,118,한정식,갈치조림 매운맛으로 먹었는데 많이 맵지 않고 맛있어요! 🙆🏻/0 갈치구이 옥돔구이 고소한 감자전과 죽으로 배고픔 달래며 기다리니 돌솥밥과 밑반찬 주시네요. 갈치 큰 토막과 담백한 된장찌개로 맛있는 한끼 해결했어요. 근처 계신다면 한끼 꼭 드셔보세요./0 우연히 들렀는데 와우진짜 맛집이네요/0,,,,,,,,,,
함덕뜰채횟집,4.5,제주특별자치도 제주시 조천읍 조함해안로 538 1층,064-784-9044,94,회,뭐가 좋다고 후기를 남기시는건지...회는 종이처럼 얇고횟값은 양에 비해 터무니없이 비싸고..생선구이. 매운탕 물론 나오지만횟집은 회를 먹으러 가는 곳..이러니 제주 안가고 동남아 간다고 하죠../0 갈치조림 너무 존맛탱입니다! 사장님도 친절하고 좋아요! 재방문의사 있습니다!/0 가족들이랑 갔다가 만족하고 왔어요~ 코스요리로 먹었는데 하나하나 퀄리티 엄청 좋네요! 다음에도 꼭 올게요 잘 먹고 갑니다 ㅎㅎ/0,,,,,,,,,,
형제섬보말칼국수,4.4,제주특별자치도 서귀포시 대정읍 형제해안로 318,064-794-1906,75,칼국수,존맛탱제주 갈때마다 일부러라도 가는 곳입니다/0 실패하지 않는 식당 죽이 맛있네요/0,,,,,,,,,,
알동네집 화순점,4.7,제주특별자치도 서귀포시 안덕면 화순로 6 1층,064-792-0828,538,"육류,고기",여기 무조건 강추입니다…담에 제주도 가면 또 갈 정도로!! 흑돼지 제주도에서 유명한데 먹어도 맛있게 먹은 적 없어서 기대 안했는데 여길 먹어야 했습니다… 고기 냄새에 예민한데 냄새도 하나도 안났어요! 두명이서 가서 짜투리고기 흑돼지 1인분씩 시키고 부족하면 맛있었던거 하나 더 시키시는거 추천합니다! 그리고 밀면 꼭 시켜드세요!!!/0 자투리 고기 맛있고 푸짐해요~ 분위기도 좋고 기본찬도 맛있어요/0 근처에 맛집 많아도 꼬기는 이곳에서만 먹어요~사장님 엄청 친절~/0,,,,,,,,,,
생이소리,4.1,제주특별자치도 제주시 명림로 241,064-753-4567,44,한식,"맛은 그럭저럭.. 배 채울정도이고... 밑반찬 김치 추가 요청에도 들은척만척.. 비추이네요./0 고등어구이 1인:16,000원/0 맛은 다른리뷰와 같이 단짠단짠 평범합니다.다만 2시50분 점심 마지막 손님이었는데 선풍기를 끄고 에어컨도 꺼서 매우 더웠습니다. 친절함은 모르겠네요./0",,,,,,,,,,
곽지해녀의집,1.9,제주특별자치도 제주시 애월읍 곽지11길 27,064-799-1472,56,회,해물모둠 신선하고 푸짐했어요/0,,,,,,,,,,
애월 고불락,,제주특별자치도 제주시 애월읍 고내로7길 45-12,064-799-0393,654,한식,,,,,,,,,,,
제주성산흑돼지맛집 칠돈가 성산직영점,3.9,제주특별자치도 서귀포시 성산읍 한도로 80,064-784-7797,1116,"육류,고기","서버분이 처음부터 끝까지 구워주셨습니다. 목살은 미디움 정도의 수준에서 먹었는데, 부드럽도록 잘 구워주셔서 맛있게 먹었고, 삼겹살은 살짝 더 구워서 바삭하게 먹었어요./0 남길줄 알았는데 겁나맛나서 2키로는 뚝딱/0",,,,,,,,,,
제주도 고기국수 만세국수,4.2,제주특별자치도 제주시 연삼로 437,064-727-7056,532,국수,ㅋㅋㅋ 다섯번 넘게 감네번째 부터는 코박고 밥 먹느라 바빠 사진은 없습니다주차 편하고 빨리 나오고 맛도 있음삼성혈 근처에 고기국수 집만 있는 식당들보다훨 맛있습니다국밥도 맛있고 밥 추가도 무료…시청 근처 국밥집은 무조건 여기입니다/0 고기국수 먹지마세요 하../0 전 정말 국밥을 사랑하능사람인데요여기와서 국밥만 먹어보긴했는데 그냥 ♬♬♩ 맛있어요 이주에 한번씩 무조건 갈거임..! 따로 국밥 다들 드세요 그리고 음식나오는 속도가(국수제외) 미침 헝그리하신분들은 다 여기로.. 그리고 건더기 정말 많아요 저진짜 밥 보통 남기는데 여기는 싹싹 긁어먹음ㄹㅇ밥도둑 (알바아님)/0 no review in crawling,,,,,,,,,,
항구식당,4.4,제주특별자치도 서귀포시 대정읍 하모항구로 64,064-794-2254,67,"해물,생선","술 한 잔 했습니다... 가격이 비싸도 좋습니다... 하지만 벵에돔 하나만 기억해주세요 진심을 다해 전합니다... 포장해왔는데 감동 그 자체입니다... 방어튀김, 고등어구이... 스끼다시도 좋은데 지리탕은 먹던 술을 해장시켜 더 마시게 해줍니다... 모슬포에 와야 할 이유? 미영이네가 아닙니다./0 방어 내장탕 숨겨진 메뉴랄까?/0",,,,,,,,,,
제주한면가,3.6,제주특별자치도 제주시 조천읍 북선로 373 1층,0507-1315-3371,66,국수,"담백한 맛과 깔끔한 서비스에 반해 재방문했는데, 홀에서 일하시는 분들은 우왕좌왕, 맛도 그래서인지 예전같지않고, 매장에 울려퍼지는 음악은 아이돌 음악까지..주차가불편해도 다시 찾아갔을만한 매력이 있었지만 다시갈지 모르겠네요./0 돔베 시킬까말까 할땐 시키세요ㅎ 동백동산 전후로 추천코스/0",,,,,,,,,,
거멍국수,2.8,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14 1층,064-792-8787,191,국수,별로에요. 맛은 평타 서비스는 별로요.항상 브레이크타임같이 수저정리소리가 끊임이 없어요../0 사람 많고 국수 많고.. 인상깊은 맛은 아니에요/0 3명이서 코스2개시키면종류별로 먹고 괜찮음!! 고기국수는 공기밥추가시켜서 돼지국밥 스타일먹어도괜찮음! 돈낸만큼의 딱맞는맛과가격! 어디갈까고민할때가도 걱정없는집!/0,,,,,,,,,,
명리동식당 애월점,3.7,제주특별자치도 제주시 애월읍 애월해안로 384-7,064-799-5888,91,"육류,고기","진짜진짜 맛나요.지난 8월에 연수때 단체로 가보고 맛있어서 가족들이랑 또 방문했어요.친절하신 직원분께서 저를 기억하시더라구요.^^셋이서 삼겹 둘, 목살 둘.고기가 두툼해서 미리 주문하는게 좋아요.먹느라 반이나 먹은 후에 사진을 늦게 찍었네요.ㅋㅋ삼겹도 맛있지만 저는 목살이 부들부들 촉촉해서 더 좋았어요.낮에가니 바다보며 맛난 고기를 먹으니 더 꿀맛이었어요.제주가면 무조건 흑돼지는 여기로!!가격은 지금은 2만원이에요.^^/0 흑돼지삼겹살 , 김치찌개 정말 잘구워주셔서입에서 녹아요또가고 싶은집~^^주인사장님이 서비스도 좋아요/0 /0",,,,,,,,,,
동도원,3.9,제주특별자치도 서귀포시 이어도로 189,064-738-2201,944,한정식,모든 음식이 정갈하고 담백합니다. 나물 반찬으로 비빔밥을 만들어 먹으니 더욱 맛있었습니다. 재방문 의사 있습니다/0 여행중 고등어조림 너무 맛있게 잘 먹었습니다/0 제주도 여행 중 다른데서 너무 비싸게 먹었던터라..인당 2만원이 안되는 돈으로 가장 맛있게 먹은 것 같습니다. 나물도 다양해서 어른들 입맛에 좋고 고등어조림도 아이들이 잘 먹네요~ 옥돔구이는 조금 작은듯 하지만 한끼 식사에 적당한 것 같습니다. 공기밥 추가는 무조건이구요..천원입니다./0 no review in crawling,,,,,,,,,,
돈이랑 성산점,3.4,제주특별자치도 서귀포시 성산읍 일출로 30,064-783-9266,288,"육류,고기",고기는 괜찮았지만 김치찌개는 별로./0 고기 맛있고서비스 친절하지만가격이 사악함 .../0 고기 직접 구워주시고 맛있고 친절해요 고기도 맛있는데 김치찌개랑 비빔국수 너무 맛있어요 ㅜㅜ/0,,,,,,,,,,
중문해녀의집,2.6,제주특별자치도 서귀포시 중문관광로 194,064-738-9557,53,"해물,생선","불친절, 식당시스템(주문순으로 제공 X) 전혀 안되어 있음, 현금결재 안됨여기 왜 식당을 운영하는지 모르겠음/0 좋아용/0",,,,,,,,,,
일품순두부 제주본점,3.6,제주특별자치도 제주시 광평동로 25 1층,064-711-2547,22,두부전문점,"반찬 종류도 많음. 전체적인 음식 맛도 괜찮고, 가격도 좋아서 부담없이 든든한 돌솥밥&순두부한끼 가능./0 6월24일에 해물순두부먹고 식중독 증상 있으신분 없으셧나요?/0 순두부집인데 반찬이 많고 찌개랑 돌솥밥도 맛있어용^^/0",,,,,,,,,,
흑돼지패밀리,4.6,제주특별자치도 서귀포시 남원읍 중산간동로 6924,010-6661-8292,117,"육류,고기",,,,,,,,,,,
달마갈비(달마숯불갈비),4.5,제주특별자치도 제주시 중앙로7길 25,064-725-5244,40,갈비,"사람들이 꽉차서 맛집이구나 했음. 근데 환기 안됨. 온몸에 연기 다베임. 눈도 못뜰정도. 생갈비는 좋으나 나머지양념을해야하는 음식들은 양념갈비, 게장, 냉면 다 별로임. 가족 9명이 갔으나, 전부 다시 오지말자고함. 평이좋아서 가긴했으나, 속았음./0 진짜 인생 생갈비 맛집 양념갈비는 그냥 그럼생갈비 진짜 맛있음 반찬으로 나오는 양념게장은 실제 파는것 처럼 토실하고 알차고 신선하고 된찌도 맛있는데 양도 많아서 먹는 내내 행복했음 제주도 가면 무조건 또 감 그냥 진짜 맛있음/0 ㅋㅋ좋아요! 토박이 친구가 추천해사 갔는데 맛있었오요 ㅋㅋ도민 맛집!/0",,,,,,,,,,
고미,4.3,제주특별자치도 서귀포시 서문로 46,064-732-8501,51,회,이것저것 다양하게 나와서다양하게 먹는 재미가 있음.맛두 괜찮음. 애들도 잘먹음./0 진심 최고 나중에 또 올거예요👍다음 음식 줘야해서 좀 바로바로 치워주시는 느낌은 있긴 한데 문제 안돼요 오히려 가격대비 너무 푸짐해서 만족스럽기만 했고 벽에 붙은 싸인들이 이해가 됐던 맛집ㅎㅎ 회랑 스끼다시 이것저것 먹는 것 좋아하면 무조건 코스~사진엔 없지만 게도 나오고 사진보다 스끼 훨씬 많음전용 주차장없고 가게가 안쪽에 숨어있어요/0 no review in crawling,,,,,,,,,,
안거리밖거리,2.9,제주특별자치도 서귀포시 솔동산로 6-1,064-763-2552,105,한식,존맛탱최애식당도가니탕 꼭 드세요 ㅠㅠ/0 /0 돈아깝다./0,,,,,,,,,,
지은이네밥상,4.6,제주특별자치도 서귀포시 성산읍 고성오조로97번길 17,064-784-2915,158,한식,가성비 맛집입니다. 아침에 든든하게 잘 먹었습니다./0 지금 먹고 있습니다.갈비찜 보통 순한맛으로 알고있는데 여긴 청양고추 듬~뿍 넣어서 맵내요.신라면 2배정도 됩니다.맵찔이시라면 안맵게 해달라고 하세요.오늘 저녁엔 화장실에서 축배를....^^;;다음날 또 왔습니다.비빔밥 두개시키니까 김치찜이랑 청국장이 나오네요.청국장 짱입니다요!!/0 /0,,,,,,,,,,
만강촌옛날칼국수,4.5,제주특별자치도 제주시 월랑로 42 1층,064-744-4780,121,칼국수,칼국수 포장하러 갔는데 들어가서 포장해달라니까 이상한사람 쳐다보듯 계속 보다가 뭐 찾냐고 물어보고 포장하나 해달라니까 그제서야 주문 들어갔음 일단 처음부터 사람 기분나쁘게 만듦 기다리는데도 난 서있고 싶은데 계속 앉아서 기다리라고 함;계산해달라고 미리 카드 내밀었는데 받지도 않고 칼국수 나오면 결제한다고 함 그건 뭐 그 가게 룰 일수 있지만 이미 앞에다가 카드 내밀었는데 그거 결제하는게 어렵나 싶었음계속 나를 캐릭터마냥 컨트롤 하려고 하는게 너무 기분 나빴음칼국수는 김치 맛으로 먹는건데 김치 들어있냐 물어보니 반찬 다 있다고 해서 집에다서 열어보니 양념묻은 무생채만 있었음 아니 누가 무생채 달라고 했음? 김치달라고 했더만 다른 반찬도 아무것도 없이 달랑 무생채만 있었음ㅋㅋㅋㅋ 어이가 없음처음부터 사람 기분 나쁘게 만들었으면 주문한거라도 똑바로 넣어줘야지 끝까지 사람을 분노에 차게 만듦/0 국수에 치킨 조합이 너무 재미나고 맛도 좋았습니다./0 가성비 인정이나 솔직히 찐맛집은 아님.제주도 사람들 입맛은 알수가없음…ㅠㅠ재방문은 없을집/0,,,,,,,,,,
우도물들이 해녀의집,4.6,제주특별자치도 제주시 우도면 우도해안길 572,010-4374-7726,123,"해물,생선","특출나게 맛있지않고 다 그럭저럭..굳이 기다려서 먹을 맛은 아님..주문 시스템도 엉망진창!/0 여긴 찐이에요 우도갈때마다 방문하는데 항상 맛있어요! 사장님도 친절하셔서 좋아요/0 사장님께서 너무 친절하셔서 기분 좋게 식사하고 온 곳.뷰도 너무 이쁘고, 음식도 굉장히 맛있다.우도에서 먹어본 음식중에서 제일 맛남.모듬물회도 2만원이라 저렴하고, 보말칼국수도 진득하니 맛있다.우도에서 식사한다면 다음에더 이곳에서 할 예정/0 no review in crawling",,,,,,,,,,
2010제주상춘재,3.9,제주특별자치도 제주시 중앙로 598 1층,064-725-1557,80,한식,솥밥을 덜면서도 물이 부족한가 싶었는데 후반부로 갈수록 물에 불린쌀 씹는 듯한 느낌이었어요. 밥이 주인데 물을 좀 잘 맞추면 좋지 않을까... 나머지 반찬은 간이 슴슴하여 먹는데 부담스럽지 않았습니다. 하지만 재방문은 글쎄요.../0 제주 올때 항상 먹어요.매장 이전하면서 주차는 더 불편해진듯 한데 매장이 넓어서 웨이팅은 좀 줄지 않을까합니다.재료본연의 맛을 살리는 건강하면서도 맛있는 음식은 여전하구요./0 /0,,,,,,,,,,
우영담,,제주특별자치도 제주시 애월읍 애월로 86 1층,0507-1494-0256,976,"굴,전복",,,,,,,,,,,
명성식당,3.2,제주특별자치도 제주시 삼성로 94,064-755-6664,39,한식,식초탕 떡갈비에 탕수육 수육은 가시가 있어서 먹다가 찔리고 불친절하고 다신 오지 마세여/0 기분좋게 잘 먹었습니다!/0 오전에 제주 도착해서 아침식사하기 좋아요./0,,,,,,,,,,
마마무말가든,4.2,제주특별자치도 제주시 아연로 157,064-724-2992,48,한식,"A코스 3인분 시켰는데 너무하셨어요~~구이가 냉삼도 아니구, 사진은 버섯 두조각 먹구 기가차서 찍어뒀어요.구이가 이케나오냐 여쭤도 묵묵부답;;말고기집 다녀봐도 이런덴 첨이에요..가보니 버스가 있더니만, 팔다 고기가 없어서 그러신건지../0 두번다시 방문의사 없은 친절하지만 돈주고 먹을음식아님/0",,,,,,,,,,
